date,open,high,low,close,volume
2024-01-01,102.00,103.50,100.20,102.50,1200000
2024-01-02,104.07,105.70,102.33,104.25,1259104
2024-01-03,104.82,106.57,103.14,104.70,1312928
2024-01-04,105.25,107.03,103.65,104.94,1356665
2024-01-05,106.25,107.79,104.89,105.91,1386407
2024-01-08,107.81,108.92,106.22,107.55,1399498
2024-01-09,109.02,110.37,107.28,108.87,1394769
2024-01-10,108.78,110.48,106.95,108.71,1372641
2024-01-11,106.73,108.52,104.85,106.65,1335092
2024-01-12,103.60,105.22,101.77,103.49,1285475
2024-01-15,100.81,102.03,99.17,100.69,1228224
2024-01-16,99.50,100.75,98.21,99.46,1168450
2024-01-17,99.79,101.56,98.72,99.93,1111495
2024-01-18,100.81,102.97,99.44,101.17,1062446
2024-01-19,101.48,103.68,99.86,102.00,1025684
2024-01-22,101.37,103.23,99.61,101.90,1004493
2024-01-23,101.13,102.59,99.33,101.45,1000767
2024-01-24,101.88,103.44,100.13,101.83,1014837
2024-01-25,104.34,106.13,102.39,103.87,1045447
2024-01-26,108.09,109.82,106.12,107.32,1089862
2024-01-29,111.68,113.11,109.75,110.87,1144116
2024-01-30,113.59,114.61,111.60,113.01,1203362
2024-01-31,113.15,114.63,111.39,113.04,1262308
2024-02-01,111.04,113.19,109.26,111.44,1315687
2024-02-02,108.69,111.24,106.90,109.46,1358733
2024-02-05,107.26,109.67,105.59,108.15,1387599
2024-02-06,106.86,108.65,105.42,107.56,1399708
2024-02-07,106.59,108.24,105.43,106.86,1393977
2024-02-08,105.29,107.00,103.93,105.09,1370919
2024-02-09,102.63,104.42,100.60,102.05,1332593
2024-02-12,99.40,101.00,97.01,98.68,1282423
2024-02-13,97.10,98.30,94.71,96.50,1224890
2024-02-14,96.89,98.16,94.79,96.57,1165134
2024-02-15,98.78,100.44,97.14,98.79,1108492
2024-02-16,101.70,103.75,100.29,101.95,1060025
2024-02-19,104.24,106.25,103.13,104.58,1024060
2024-02-20,105.63,107.23,104.42,105.93,1003812
2024-02-21,106.17,107.52,104.67,106.36,1001089
2024-02-22,106.80,108.47,105.10,106.89,1016134
2024-02-23,108.20,110.06,106.41,108.27,1047603
2024-02-26,110.14,111.96,108.38,110.24,1092685
2024-02-27,111.54,113.07,109.92,111.66,1147353
